frame_id,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
000081,-0.441677,0.169885,0.481987,0.000000,0.573577,0.000000,0.819152
000082,-0.441677,0.169885,0.481987,0.000000,0.573577,0.000000,0.819152
000083,-0.535646,0.169885,0.447785,0.000000,0.573577,0.000000,0.819152
000084,-0.629615,0.169885,0.413583,0.000000,0.573577,0.000000,0.819152
000085,-0.723585,0.169885,0.379381,0.000000,0.573577,0.000000,0.819152
000086,-0.817554,0.169885,0.345179,0.000000,0.573577,0.000000,0.819152
000087,-0.911523,0.169885,0.310977,0.000000,0.573577,0.000000,0.819152
000088,-1.005493,0.169885,0.276775,0.000000,0.573577,0.000000,0.819152
000089,-1.099462,0.169885,0.242573,0.000000,0.573577,0.000000,0.819152
000090,-1.099462,0.169885,0.242573,0.000000,0.608761,0.000000,0.793353
000091,-1.099462,0.169885,0.242573,0.000000,0.608761,0.000000,0.793353
000092,-1.099462,0.169885,0.242573,0.000000,0.608761,0.000000,0.793353
000093,-1.099462,0.169885,0.242573,0.000000,0.608761,0.000000,0.793353
000094,-1.099462,0.169885,0.242573,0.000000,0.608761,0.000000,0.793353
000095,-1.099462,0.169885,0.242573,0.000000,0.608761,0.000000,0.793353
000096,-1.099462,0.169885,0.242573,0.000000,0.608761,0.000000,0.793353
000097,-1.196054,0.169885,0.216691,0.000000,0.608761,0.000000,0.793353
000098,-1.196054,0.169885,0.216691,0.000000,0.608761,0.000000,0.793353
000099,-1.196054,0.169885,0.216691,0.000000,0.608761,0.000000,0.793353
000100,-1.292647,0.169885,0.190809,0.000000,0.608761,0.000000,0.793353
000101,-1.389239,0.169885,0.164927,0.000000,0.608761,0.000000,0.793353
000102,-1.485832,0.169885,0.139045,0.000000,0.608761,0.000000,0.793353
000103,-1.582425,0.169885,0.113163,0.000000,0.608761,0.000000,0.793353
000104,-1.679017,0.169885,0.087281,0.000000,0.608761,0.000000,0.793353
000105,-1.775610,0.169885,0.061399,0.000000,0.608761,0.000000,0.793353
000106,-1.872202,0.169885,0.035518,0.000000,0.608761,0.000000,0.793353
000107,-1.968795,0.169885,0.009636,0.000000,0.608761,0.000000,0.793353
000108,-2.065387,0.169885,-0.016246,0.000000,0.608761,0.000000,0.793353
000109,-2.161980,0.169885,-0.042128,0.000000,0.608761,0.000000,0.793353
000110,-2.258573,0.169885,-0.068010,0.000000,0.608761,0.000000,0.793353
000111,-2.355165,0.169885,-0.093892,0.000000,0.608761,0.000000,0.793353
000112,-2.451758,0.169885,-0.119774,0.000000,0.608761,0.000000,0.793353
000113,-2.548351,0.169885,-0.145656,0.000000,0.608761,0.000000,0.793353
000114,-2.644943,0.169885,-0.171538,0.000000,0.608761,0.000000,0.793353
000115,-2.644943,0.169885,-0.171538,0.000000,0.608761,0.000000,0.793353
000116,-2.644943,0.169885,-0.171538,0.000000,0.642788,0.000000,0.766044
000117,-2.644943,0.169885,-0.171538,0.000000,0.642788,0.000000,0.766044
000118,-2.644943,0.169885,-0.171538,0.000000,0.642788,0.000000,0.766044
000119,-2.644943,0.169885,-0.171538,0.000000,0.675590,0.000000,0.737277
000120,-2.644943,0.169885,-0.171538,0.000000,0.707107,0.000000,0.707107
000121,-2.644943,0.169885,-0.171538,0.000000,0.707107,0.000000,0.707107
000122,-2.744943,0.169885,-0.171538,0.000000,0.707107,0.000000,0.707107
000123,-2.744943,0.169885,-0.171538,0.000000,0.707107,0.000000,0.707107
000124,-2.744943,0.169885,-0.171538,0.000000,0.707107,0.000000,0.707107
000125,-2.744943,0.169885,-0.171538,0.000000,0.707107,0.000000,0.707107
000126,-2.844943,0.169885,-0.171538,0.000000,0.707107,0.000000,0.707107
000127,-2.944943,0.169885,-0.171538,0.000000,0.707107,0.000000,0.707107
000128,-3.044943,0.169885,-0.171538,0.000000,0.707107,0.000000,0.707107
000129,-3.044943,0.169885,-0.171538,0.000000,0.707107,0.000000,0.707107
000130,-3.144943,0.169885,-0.171538,0.000000,0.707107,0.000000,0.707107
000131,-3.144943,0.169885,-0.171538,0.000000,0.707107,0.000000,0.707107
000132,-3.144943,0.169885,-0.171538,0.000000,0.707107,0.000000,0.707107
000133,-3.144943,0.169885,-0.171538,0.000000,0.737277,0.000000,0.675590
000134,-3.144943,0.169885,-0.171538,0.000000,0.737277,0.000000,0.675590
000135,-3.144943,0.169885,-0.171538,0.000000,0.737277,0.000000,0.675590
000136,-3.144943,0.169885,-0.171538,0.000000,0.737277,0.000000,0.675590
000137,-3.144943,0.169885,-0.171538,0.000000,0.766044,0.000000,0.642788
000138,-3.144943,0.169885,-0.171538,0.000000,0.793353,0.000000,0.608761
000139,-3.144943,0.169885,-0.171538,0.000000,0.793353,0.000000,0.608761
000140,-3.144943,0.169885,-0.171538,0.000000,0.793353,0.000000,0.608761
000141,-3.144943,0.169885,-0.171538,0.000000,0.819152,0.000000,0.573576
000142,-3.144943,0.169885,-0.171538,0.000000,0.843391,0.000000,0.537300
000143,-3.144943,0.169885,-0.171538,0.000000,0.866025,0.000000,0.500000
000144,-3.144943,0.169885,-0.171538,0.000000,0.887011,0.000000,0.461749
000145,-3.144943,0.169885,-0.171538,0.000000,0.906308,0.000000,0.422618
000146,-3.144943,0.169885,-0.171538,0.000000,0.923880,0.000000,0.382683
000147,-3.144943,0.169885,-0.171538,0.000000,0.939693,0.000000,0.342020
000148,-3.144943,0.169885,-0.171538,0.000000,0.953717,0.000000,0.300706
